reviews_text,reviews_header,Asin
This is the worst product i have ever received through amazon..e-airtec is worst company with its worst product..I recieved a TV with speaker not working..I recommend other people not to buy this local brand..and I want my money back..please refund my money as soon as possible..,Worst brand,B07MNF89L2
eAirtec Customercare wont call you after you receive the product. You have to call them for installation/wall mounting. Customercare number 18001024877.,Things to remember after receiving the product,B07MNF89L2
excellent product buy it without any tension,excellent product,B07MNF89L2
Faltu plz dont but the good comments are fron airtec team,Lol,B07MNF89L2
Every thing is so good very nice brand,Very good from other led,B07MNF89L2
"Such a brilliant product at no cost Picture quality is as good as Samsung As far se Service Team of eAirtec is concerned, they are such a professionals, mind blowing response, fast installation by seller Customer department has called up regularly till the installation was not done Special thanks to Mr. Naasir, Ms. Pooja and Mr. Rahul Great experience, buy this tv without worrying about after sales services",Wow experience,B07MNF89L2
Yesterday i received tv on 4.30 pm from yesterday no one received call regarding installation and usb also not working.... Very bad experience for me...,Installation qnd Usb issue,B07MNF89L2
"Remote stopped working,main board found faulty, within a week replaced the board. I am doubtful about how long it will last. It is cheap so is the quality otherwise picture and sound quality is ok.Hope it runs",Main board fails within a week.remote stopped working.,B07MNF89L2
You need look alternative for Remote Control and the remote inside the package will not work. Im requesting the manufacturer or the dealer to send me the new working remote. Don't buy this product. It's been a month and still I've not received the requested Remote Controller.,"Product is bit fine. But, remote is not working.",B07MNF89L2
Screen not working.....I want to return,Display not working,B07MNF89L2
Tv is good for price. Wall mounting is not good. Only one rod was received (which doesn't fit tv hooks)while two rods required. Tv is in danger of falling and crashing. Should give option and provide only opted mounting with better quality.,Tv good for price wall mounting substandard.,B07MNF89L2
TV screen guard has many air bubbles.. Still care to be taken to improve the quality... Don't buy this... You can go for 32 inch smart tv,Airtec 32 inch led TV,B07MNF89L2
Second hand tv,Wast tv,B07MNF89L2
No support for TV installation TV fixing clamps not matching,Cost wise product is worth but no installation support from manufacturer,B07MNF89L2
Very bad picture clearty only vest on money product,Vest of money,B07MNF89L2
To bad no parched led tv,Not working eAirtec led tv,B07MNF89L2
installation wale call ni uthre,installtion ni hora hai iska koi call pick ni krra hai,B07MNF89L2
Not working remote,Problem,B07MNF89L2
I didn't get warranty card...,I'm not happy with that product,B07MNF89L2
"Unsatisfactory, colors not adequate & they are not going listen",Unsatisfied,B07MNF89L2
my led not working sounds not and colour not good so plz my led tv riplesment,airtek led tv,B07MNF89L2
Unbelievable unbelievable unbelievable😘😘😘😘😘😘😘 East or west Eairtec is the Best,😘😍East or west Eairtec is the Best😍😘,B07MNF89L2
Not a good buy,Xxx,B07MNF89L2
Not installation...why.,Bad service.,B07MNF89L2
Tv remote not working properly. Overall good . no Bluetooth no wifi ... it has display backlight blinking problem.,Good ordinary tv,B07MNF89L2
S0und not working its been only 2 days i have used,Sound not working its been only 2 days i have used,B07MNF89L2
Good,Very nice product,B07MNF89L2
Tv purchased on amazon is very good and sound is very clear also very loud and very very good quality of video. thank you amazon for best product.,Good product,B07MNF89L2
It is not connecting and picture quality is also not good,Bad quality,B07MNF89L2
I need my free installation for this product as promised didn't get any,I didn't get any installation,B07MNF89L2
No good,Good,B07MNF89L2
Sounds is not good,Sounds,B07MNF89L2
"This TV purchase on Amazon shopping is very good and the quality of this TV is very good, sound quality, picture quality is very fantastic and the packaging of this TV is very good also",The product of Airtec deals in good quality and give better service,B07MNF89L2
"Super clarity But my question is weather ""is it LCD DISPLAY or LED DISPLAY ? "" TECHNICAL guys knows it very well pls see the uploaded video and expose it and help the customers ....It's not supporting AC# audio file",Super Hi,B07MNF89L2
"I purchased AIRTEC LED..My LED TV is not turning on,first day. there is something to change in the parts.I call everyday in your customer care for two weeks.I tell them all the problems.But she is being fooled me everyday, she saying everytime today and tommorow your problem solve.I thing big mistake using your company product.Your customer care is very worthless, nobody knows anything.If you can get it done otherwise Take it back your product.Dnt buy this product..",Worst product,B07MNF89L2
Good,Nice,B07MNF89L2
"Tv is outstanding, finishing is not smooth but money spent well, high definition only (HD ) BUT PICTURE QUALITY AND video quality is wonderful just wonderful, native resolution for PC is 1280*720p and response time is bearable and can play any games without time lag, or any pictures blur or any defects. I will write again after a month and tell all details..",Very nice for this price range.,B07MNF89L2
one of the best tv in led picture quality & sound was awosome & the service of the product is also excellent & price is also good in a budgest i tottally perferd to purchase the led tv airtec its rellay nice product for middile class person,its sound is birrlent,B07MNF89L2
Overall 4 star coz till date after purchasing 2months no one has contacted from customer care regarding installation of the product... After waiting 4 days from purchase we wall mounted it by ourselves. Don't expect any customer care service from this brand. Product is very good in this price.,Worst customer service,B07MNF89L2
e AIRTEC Brand is Excellent and Amazing.,e AIRTEC is Excellent Brand,B07MNF89L2
"Very happy with the product and clarity, sound and options are really good... And the customer service department was really supportive. Most importantly the service executives who came for the support was really helpful and polite. Thank you for team.",Value for money. Happy and satisfied customer,B07MNF89L2
"Unbeatable price,I got TV @only Rs.5400/- packaging and installation superb, picture qualty and sound is good, it is working without any problem,satisfied very much,for installation contact What's up no.9311017777,mention Amazon order ID,They will provide better installation service, installation service Engineer is very humble with good work","Unbeatable price for 32"" TV,with good picture and sound quality",B07MNF89L2
The TV is good and the Service is prompt and good. We had a problem with the sound there was a buzzing noise coming from the TV. Danish had come from eAirtec and resolved the issue. Danish was very helpful and had good product knowledge.,Good Service,B07MNF89L2
"I purchased on September 2nd,this is November,now tv not working,I checked with Amazon,they given eairtec number +91 93110 17777,after contacting they are saying to contact Amazon,it has one year warranty I want to replace the product or repair the tv please respond any one",Worst product,B07MNF89L2
Coiaxl port not working unable watch local TV received 26/09/2019 and there is no technical support from the TV manufacturer replacement also not possible... returned....,Don't waste your time and Money,B07MNF89L2
Value of money.but Tv vagi 3days aaguthu ennum install panna yarum varla. Yantha oru response mm Ella service provider ketta eruthu.eppave no response na TV fit pannuna peragu yappudi fault na varuvaga.waste of my time,Tv OK.,B07MNF89L2
absolutely useless and above all seller is useless,the product is not good even if we get it free of cost,B07MNF89L2
Product is not costly as compared to other brands. Good picture smart feature and sound quality,Good product,B07MNF89L2
Delivery on time product is good awasom 32 inch air Tech TV I got a free airmouse thank you airtech sound quality is good picture quality is much better,I got a free air mouse thanks aitech,B07MNF89L2
"Good Product, I am using this for home lab setup. 2 HDMI ports, 2 USB ports are more impressed me.","Good Product, Value for money.",B07MNF89L2
TV is defective. It's sound system is not working. Please replace the TV. Installer came yesterday (28.10.2019) evening. He checked and told us. He packed the TV for replacement. I didn't get any jobsheet from him. Please do replace the TV set.,Please replace the Tv set.,B07MNF89L2
TV remote is worst... It's not working properly... And there is no apps available for remote control,Problem with remote,B07MNF89L2
"This product can be compaired with popular brands like Samsung, Sony etc. Their companie's customer service is excellent. The installation was very prompt. The installation was excellently done by well trained executive, his behaviour was good. Picture quality and sound is good. It is value for money.",Excellent TV,B07MNF89L2
Getting this TV at such a low price is definitely a plus point but black spots started appearing on the screen within 3 months from purchase.,Okay in low budget category,B07MNF89L2
I never see this type of worst product. TV is working only 4 hours on day. Waste of money product. Plz don't buy this product.,Not working-,B07MNF89L2
Very low price and very very good product,Best in class,B07MNF89L2
I am not happy with the display this is not HD. I want to book another TV on this so Amazon please help me on this please take this TV back and on adding some money more i want take another TV on amazon.,Not Good,B07MNF89L2
"Sound quality is very good, but picture quality is not up to the mark as per review s posted on amazon.",I would like to give 3 star only.,B07MNF89L2
"Thumps up to this TV, as the price is very low and giving good quality picture.",Picture quality good sound OK,B07MNF89L2
"Just using it for past 7 days , So Far so Good. Cable doesn't cable inside bit you can use other TV cable which connects setop Box with TV.",Good value for money,B07MNF89L2
very nice product all features are good and nice...MY PRODUCT is looking awesome and Thanks amazon for Fast delivery,nice Products,B07MNF89L2
Good product,For money,B07MNF89L2
OK.good . Tv superb sound clear picture OK .all video format supported..value for money.... U undoubtedly buy it...........,Really superb eairtec,B07MNF89L2
So good very good picture quality 32 inch led TV I got. A free. Airmouse thank u airtech your product is very very good and i m happy....value for money,Good product 32 inch led airtech,B07MNF89L2
"Thx eartech for the free air mouser , the video quality of the eartech led tv32 is amazing for experience good video and audio quality a person is amazing.","experience of 32"" eartech led tv is amazing",B07MNF89L2
Lower price good tv,Nice,B07MNF89L2
👌👌excellent product in this price,Value for money,B07MNF89L2
I both this product from amount the quality is super good the tv price sits 20000 the picture quality is very good thanku vary much to Amazon to recament this comment is is my own comment not an Amazon thanku to eairtec tv company 😁,This tv super good.....,B07MNF89L2
Small price good tv but one 24 inche tv display crack I replace order,Good,B07MNF89L2
My product is fauly after complaint no any salutation only team come here and see what fault in my led television he not fully saduce me.,not good solution for my complaint,B07MNF89L2
Nobody came for the stallation of the TV and your man was saying that the TV stallation will be done in 2days after the delivery,Not that much but it was good,B07MNF89L2
Tv on hi nhi ho rha please dont buy,Bekar product,B07MNF89L2
It's nice product and good customer service good response,Value for money,B07MNF89L2
Nobody is picking up phone for installation,Poor service,B07MNF89L2
Gr8 Product. Awesome 4k Picture Quality. Happy to buy it.,Amazing Product,B07MNF89L2
Instillation is third class 10 days go but not instillation completed,Airtec TV,B07MNF89L2
Very nice picture quality and full paisa vasul product..... I would recommend to everyone who is looking for a budget tv,Value for money....,B07MNF89L2
"Usb didn't work ,iske alawa saund quality owesone picture quality also very good bus USB kharab Nikal gya ,under 6000 it's beat all other brand",USB don't work,B07MNF89L2
Waste of money,Waste of money,B07MNF89L2
Good product,Excellent,B07MNF89L2
Very good product,Economic,B07MNF89L2
Really it's great product in this price range .. I don't know about service details .. but I'm ok,Value for money,B07MNF89L2
Purchasable product... Cheap and best... It TV brand I am using is working fine.. I appreciate your technology... It's multimedia functions are dashing... It's true value for money I spent....,Perfect,B07MNF89L2
No Bluetooth piture quality its to bad,Low price low quality,B07MNF89L2
good product,good,B07MNF89L2
It's great nice product delivery is superb Value for money,Value for money,B07MNF89L2
This product to day checking but dammege screen I want replus,Replus tv,B07MNF89L2
Picture not clear,Mani waste,B07MNF89L2
Low cost good performance,Goooddddd,B07MNF89L2
Value for money,Valuable,B07MNF89L2
Installation?no details for installation of this product.kindly arrange an installation,Installation not done,B07MNF89L2
Awesome product in this prize range.,Value of Money.,B07MNF89L2
U replace itam,U item quality poor,B07MNF89L2
Amazing product in low price. Compared than other products. Thanks to eairtec,Amazing product,B07MNF89L2
Picture quality ok. sound quality little bit low. delivery persons good support at this time.,Tv,B07MNF89L2
Picture qualityis very good & sound is good clear sound best price of the airtech 32 inc tv,Very good product thank you airtech i got a free air mouse thank u airtech,B07MNF89L2
Remote not working volume button up button work down button not working very poor equality,Remote not working volume button up button work down button not working very poor equality,B07MNF89L2
"It is a bajet rate best led tv. Picture quality very nice, and sound quality nice. It is a great led tv",Very good picture quality,B07MNF89L2
Item delivered but the technician not came for fitting and their is no call I recieved please call to the mentioned number 9513777386,Good,B07MNF89L2
Not bad,Gud,B07MNF89L2
Good packing led tv 32 inch God product I got a free air mouse thank u airtech,Very good product 32 inch TV airtech,B07MNF89L2
"Price increase and decrease suddenly, Don't buy if it is more than 6k.",Must Bargain before buy,B07MNF89L2
Is price mein bahut achcha hai Sound quality aur picture quality bahut acchi hai,Good,B07MNF89L2
Nice,No,B07MNF89L2
Excellent quality and value for money,Nice,B07MNF89L2
Best tv in budget.,Best tv in budget,B07MNF89L2
Everything is good but there is no call for installation this is very bad,Not received Installation call,B07MNF89L2
Nice,Good,B07MNF89L2
I am facing a problem with this TV The TV is auto switch off after every 2 hours please send technician,Standby problem,B07MNF89L2
Satisfactory... Bought for gifting it...,Worthy...,B07MNF89L2
Sound 1not working,Super,B07MNF89L2
"Bad picture quality..please guys don't waste your money, thay cheat as hd ready led tv or 4k. But this is actually waste product as compare other tv.",Bad picture quality,B07MNF89L2
Value for money but picture quality is not so good,Value for money,B07MNF89L2
It is good as of now since 29/9/19 the dt of I received and installed,It is good as of now,B07MNF89L2
Build quality is not so good but in this price range it is very good product,Good,B07MNF89L2
New tv but when i turn it on it is not working. Poor service rubbish tv.,New tv but not working.,B07MNF89L2
"TV has good pic.. Quality and sound is OK in valuable price ,the bad thing is l have not got TV purchasing bill and warranty card has not filled by seller",EAirtec,B07MNF89L2
Nice product thanks,Good,B07MNF89L2
Good.,Good,B07MNF89L2
Product is excellent but i need extra guarantee of the product for maximum period of time possible. Kindly inform your rate for 5 years extra guarantee.,Need extra guarantee of the product for maximum period of time possible,B07MNF89L2
We have bought it 2months ago and now it is not working properly,Not working properly,B07MNF89L2
Excellent product,"Excellent product, value for money",B07MNF89L2
verrygood products,thanks,B07MNF89L2
Remote not working Nobody is receiving customer service no,Service problem,B07MNF89L2
Good,Good,B07MNF89L2
Good... TV Installation Side No Support...,24inch TV Price 32inch Value For Money....,B07MNF89L2
Good TV in all,value for money,B07MNF89L2
Looking for some one to call for wall mount installation but no one called so far. Is the installation included or it it to do from our end?,Wall mount Installation Please,B07MNF89L2
Good for home,Good for home,B07MNF89L2
Good product. but can we use power stabilizer to this TV?,Can we use power stabilizer?,B07MNF89L2
TV shut down on very first day.,TV shut down on very first day.,B07MNF89L2
After all good,Chandan manna,B07MNF89L2
Tv pictures quality very bad and remote does not work,Tv pictures quality very bad and remote does not working,B07MNF89L2
Nice,Nice,B07MNF89L2
Best TV in best price,This TV like other high quality TV's,B07MNF89L2
Good,Nice,B07MNF89L2
Nice tv,Value for money,B07MNF89L2
good,VERY NICE N SLIM,B07MNF89L2
Sound quality not good led batter in range,Good quality range of this led tv,B07MNF89L2
"Good product, thanq amazon",Very nice TV with low budget,B07MNF89L2
Nice... i use firestick with this,Cheap and perfect,B07MNF89L2
Excellent product,Maza aa gaya es tv ko lekr,B07MNF89L2
Super cool product,Value of money product on this price,B07MNF89L2
Really value for money Thanks Amazon,Value For Money,B07MNF89L2
Good Led TV but installation sarvis is but let?,Good price for led tv,B07MNF89L2
Good product,Good,B07MNF89L2
Awesome product in this price,Awesome,B07MNF89L2
Goog good,Goog good,B07MNF89L2
Very nice product,TV mast h!!,B07MNF89L2
Truly superb & value for money ...,Mind-blowing,B07MNF89L2
Good product 32 inch LED tv airtech i got a free air mouse thank u airtech Everything is ok...paisa wassol products....,Paisa wassol products...,B07MNF89L2
Value for money.,Value for money,B07MNF89L2
Thanku for your response and good jobs,thanku,B07MNF89L2
Picture is not good though its value for money bcoz u will not get 32 inches led in this price,Not good led,B07MNF89L2
Size and the picture quality is best,Best product,B07MNF89L2
Nine kowaility nice penal nine voice,Goog,B07MNF89L2
Best quality,Value for money,B07MNF89L2
Very good,Good product,B07MNF89L2
It was not good don't take this one,Not good tv,B07MNF89L2
Picture quality is ok for money which I have paid,"Yea ,You can buy this TV, No doubt about it",B07MNF89L2
"Best HD Picture Quality & Sound is good, best budget our money","Awesome, Best Quality Product",B07MNF89L2
"Very nice product, value for money",Value for money,B07MNF89L2
Super product in low budget,I am very happy,B07MNF89L2
Price...is good...,Good...price......good.... Quality,B07MNF89L2
Good product good sound quality,Good product,B07MNF89L2
Best in best price,Best tv in best price,B07MNF89L2
Warh full tv in low price,Good tv,B07MNF89L2
Picture quality and sound,Very good product,B07MNF89L2
Picture quality good and sound quality also good,I am happy thia product and value for money,B07MNF89L2
Good,Very good,B07MNF89L2
Good product at this price.,Good,B07MNF89L2
Nice TV,Go for it,B07MNF89L2
It's suitable for middle class,Low cost high quality,B07MNF89L2
Good,Good,B07MNF89L2
"Low price, good quality.",Good,B07MNF89L2
very good product in this price.,birth for money,B07MNF89L2
Very very poor,Poor,B07MNF89L2
Nice product,Nice product .Easy to use,B07MNF89L2
Nice product value for money,Nice,B07MNF89L2
Very bad...,Product not as per ordered..very bad quality,B07MNF89L2
Good working and budget price,Good price,B07MNF89L2
Great product at less price,Excellent product,B07MNF89L2
Picture quality is too low,Bad product,B07MNF89L2
Nice quality and process,Airtec led,B07MNF89L2
Speaker ki awaz Chali gai,No,B07MNF89L2
awesome deal with a great picture and sound quality. Thank you eAirtec for the Led tv...........,Great Picture and sound quality,B07MNF89L2
Good quality. And,Exilent products . better and best,B07MNF89L2
Good product.,"Super Quality,vide Quality is good.very nice, value money.most reasonable price.",B07MNF89L2
Every aspect seems good,Very good product at low price👍,B07MNF89L2
Hd picture altrasound,Tv wallmot nut is not standed cheng,B07MNF89L2
Good LED TV working.,About LED TV working prafomance,B07MNF89L2
Good one,Nice,B07MNF89L2
"Quality is good in every field, value of money bole toh paisa vasool.",Kam paise mai zhakassssss chiz 👌👍,B07MNF89L2
Everything is good,Nice product actually justify the prises,B07MNF89L2
This tv not android,This tv not blotooth not android,B07MNF89L2
Value for money,Value for money,B07MNF89L2
Good and less price,Good,B07MNF89L2
Very good,Good,B07MNF89L2
Good Product,Good Product,B07MNF89L2
Ok done,Very good looking &picture,B07MNF89L2
The package,Nice,B07MNF89L2
Good,Goog,B07MNF89L2
Good product,Good,B07MNF89L2
Super,Super,B07MNF89L2
Like it,Pic quality nice,B07MNF89L2
Good price,5 star,B07MNF89L2
Very good,I love e Airtec LED TV,B07MNF89L2
Ok,Ok,B07MNF89L2
Gud not bad for this price,Gud not bad,B07MNF89L2
Better,Good,B07MNF89L2
Picture quality is ok but sound not good,Ok ok,B07MNF89L2
Good to go,Nice,B07MNF89L2
Superb,Superb,B07MNF89L2
Super,Best product,B07MNF89L2
Suprb,Very gud,B07MNF89L2
Its ok,Its ok,B07MNF89L2
Best,बहोत अछि टीवी हैं,B07MNF89L2
All good,Perfect,B07MNF89L2
Good,Good,B07MNF89L2
good,goid qwealty,B07MNF89L2
This product is very good. It's graphics is very good. I gave him 5 star.,This is very good,B07MNF89L2
Nice and in budget TV. Build quality should be improved,Nice budget TV,B07MNF89L2
Value for money,Economy TV,B07MNF89L2
All part is good quality thank u airtech 32 inch TV is good product,Very very good product airtech TV I got a free airmouse thank u airtech,B07MNF89L2
good value of money,nice product,B07MNF89L2
Good quality product .. ideal for budget buying ..,Good product with a great price point,B07MNF89L2
"I like it - picture quality,sound quality and best price.",Best quality and best pictures.,B07MNF89L2
Worst product. Don't buy.,Useless product,B07MNF89L2
Ok,Fine,B07MNF89L2
Very nice tv....,Super produced.... nice quality....,B07MNF89L2
It's not an Android tv.. I want Android smart tv.,Can you replace it with an Android smart tv,B07MNF89L2
Product is very good and picture quality is excellent,TV is good,B07MNF89L2
sound picture quality super .,Excellent,B07MNF89L2
Nice product in picture quality improves,Tv,B07MNF89L2
Gazaab ki sound ki quality aur picture quality h,Wooow Super Tv For Lower Price,B07MNF89L2
Awesome product,Nice Tv,B07MNF89L2
"Tv is best price, best quality",Awesome,B07MNF89L2
Excellent,Best price,B07MNF89L2
Sounds good picture quality good,"Nice, like",B07MNF89L2
This is warest t. v. It is not use fullu,Fullu warest tv,B07MNF89L2
Value for money,Value for money,B07MNF89L2
Value for money,Fast delivery with prompt service,B07MNF89L2
It is value for money.,Good product.,B07MNF89L2
"Poor tv stand, good value for money.","Poor tv stand, good value for money.",B07MNF89L2
Nice,4star average,B07MNF89L2
Dada,Ok,B07MNF89L2
It's really value for money,Good Product,B07MNF89L2
Best for the price don't miss it...,Best TV in low price,B07MNF89L2
Don't trust displayed pics,Don't trust displayed pics,B07MNF89L2
Worthful purchase,No regret as got the best in least,B07MNF89L2
This product ok,Ok,B07MNF89L2
Good condition,M,B07MNF89L2
Installation Items is missing,G,B07MNF89L2
Pictures quality is good. Yes,Airtel T.V like .,B07MNF89L2
Good,"Good products, save money",B07MNF89L2
nice value for money thanks,thanks,B07MNF89L2
My product is not set why,My product not resolve,B07MNF89L2
Very good Product,Very good Product,B07MNF89L2
Very good,Good,B07MNF89L2
Good one for this budget,Worth for the price,B07MNF89L2
After sometime it blurs,Loss of money,B07MNF89L2
Its ok,Good,B07MNF89L2
Great product,Value for money,B07MNF89L2
Nice super good great,Super,B07MNF89L2
Good product,Good,B07MNF89L2
Great deal,Osm,B07MNF89L2
No clear picture,Very bad,B07MNF89L2
Vary nice product,Nice,B07MNF89L2
Nice products,Excellent,B07MNF89L2
Mst h,Mst,B07MNF89L2
Allover best,Thanks,B07MNF89L2
Good,Good,B07MNF89L2
Good,Good,B07MNF89L2
Super Mario,Nice,B07MNF89L2
Half screen,Not a full screen,B07MNF89L2
LED kharab hai,8726708721,B07MNF89L2
Nice,Good,B07MNF89L2
Good,Nice,B07MNF89L2
Nicely prodect,Good prodect,B07MNF89L2
Good like,Good,B07MNF89L2
"I HAVE JUST ORDERED THIS TV. THIS IS MY FIRST TV 32 INCH ,HOPE IT WILL NOT DISAPPOINT ME . AFTER READING ALL COMMENT I HAVE DECIDED THIS TO BUY . AFTER 4 DAY I HAVE RECEIVED MY DESIRED TV .NO DOUBT IT IS GOOD .I WILL ADVICE EVERYBODY TO TRY THIS .DONT RUN WITH BRAND . BECAUSE THE OTHER BRANDED TVs ARE HIGHLY COST EFFECTIVE . SAVE MONEY .THANKS eAirtec TEAM & AMAZON .",VALUE FOR MONEY,B07MNF89L2
Picture u can SEE : Sound U can hear. Best of Luck ! Like many am posting a fake review.,Don't get facinated by the 5 stars,B07MNF89L2
Plz don't buy ..go for best company TV Amezon serf very bad don't refund my money and exchange this product .10 day return policy not provide ..10 day only time pass,Poor poor 10 days policy time pas,B07MNF89L2
"Hi, I am harish from bhumi enterprises Delhi and we are cctv supplier and we are using Aitec TV for camera and many homes or office I think its value for money as we selling Airtec since 2013, most of d tv sold by us is working 24 hours ..",Very good quality of TV.,B07MNF89L2
Defective TV delivered,Defective TV delivered,B07MNF89L2
My suggestion would be do not buy this tv it will be a waste of money as well as quality compromise...it just say smart tv but the features are pathetic and it doesn't work like smart tv,Worst product ever,B07MNF89L2
The Quality of Picture and Sound was Fabulous everyone should buy this. I was very Satisfied Nd happy with this tv. I think everyone would also luved it.,E-Airtec Led,B07MNF89L2
A silently launched masterpiece by eAirtec. No Ads. No Pre-information. Fearing sales? Or hurryingly released to beat All LED TV's? Anyways. Let us see the pros & cons:,Best LED,B07MNF89L2
A great product with great features at an even greater price.. picture quality and sound quality are at par .. after sale service is good too...,😍😍😍,B07MNF89L2
Perfect display with good sound quality LED is very effective in this price Smart brand in economical budget.,Excellent product,B07MNF89L2
Excellent Product Good Quality,Excellent Products,B07MNF89L2
Airtec best TV quality and HD TV and clear picture best song song best quality ***** v best,5******,B07MNF89L2
Only one problem ...The usb is working but video is not view why trouble is have me....,USB problem,B07MNF89L2
Superb led TV eairtec,Sab se sasti Led TV,B07MNF89L2
Very nice quality this led sounds is excellent am fully satisfied this led tv.,This led is very nice picture quality fabulous.,B07MNF89L2
Good product. I have already use last 3 months. Value for price. Suggest every one buy it.,Value for money,B07MNF89L2
This tv amazing sound quality picture quality this price range tv👌👌👌👌,Good tv,B07MNF89L2
Good sound quality and picture quality and price friendly too.,Awesome Product Value for money,B07MNF89L2
No one has attend for installation till this date & minute 26-10-2019,No,B07MNF89L2
"Picture quality, sound quality, value of money and services is best",The quality of airtec led tv is very best.,B07MNF89L2
such nice product with nice sound quality value for money,nice one,B07MNF89L2
"best surround sound quality , high definition display",Good quality product,B07MNF89L2
Super product,Good product,B07MNF89L2
Bekar hai airtek co.call any time busy and no review,V bad,B07MNF89L2
Good product satisfied with the quality and service,Best in this price all is good,B07MNF89L2
Overall good product & value for money,value for money,B07MNF89L2
They are not bother about installation.,No installation facilities,B07MNF89L2
Nice t.v picture quality is best and everything,Bestt,B07MNF89L2
eAirtec 81 cm (32 inches) HD Ready LED TV 32DJ (Black): It's a nice TV for sound and resolution.,eAirtec 81 cm (32 inches) HD Ready LED TV 32DJ (Black),B07MNF89L2
"Picture & sound quality is amazing , TV is more than what you paid . just like free buy it",Good one,B07MNF89L2
Best product quality,Nice,B07MNF89L2
This led was only for two working and then off this product has vary bad company product kindly replace my LED,Vary bad only two hours working,B07MNF89L2
Nice product picture quality is nice,eAirtec,B07MNF89L2
"Good purchase, worth the value.",Amazing TV must buy,B07MNF89L2
Worked only for a week,Fake product I'm stopping Amazon,B07MNF89L2
All quality wise good,Amazon Vera level,B07MNF89L2
Excellent product,Awesome,B07MNF89L2
Sound quality,Sound quality,B07MNF89L2
Excellent,Very nice led,B07MNF89L2
Excellent,Good,B07MNF89L2
Best quality product,Worth,B07MNF89L2
Got this secondary gift frm my frnd. Aftr 3 months stopped working.. to avoid wastage f time n money i bought a big brand's tv.,3 months product a cheap quality,B07MNF89L2
"Picture quality is very good , best product at price range",Very Good Product,B07MNF89L2
Such a brilliant product picture quality is best excellent sound quality,Very good service,B07MNF89L2
Very good quality in video and music best price,Nice tv,B07MNF89L2
Very good,Good,B07MNF89L2
Good product. Value for money.,Value for money.. good product,B07MNF89L2
good warranty service at home address,Good service I like E-Airtec LED TV,B07MNF89L2
"Good but border light showing, please resolved it or replace it. I thank you .",Good transperancy in online.,B07MNF89L2
Nice product am buying.....,Nice,B07MNF89L2
This is very good product because everyone affordable money.it is very usefull product.,picture saund quality very good,B07MNF89L2
Nice quality with perfect budget,Led tv,B07MNF89L2
Good,Good,B07MNF89L2
I got this TV at RS.5400 only and the TV is worth the price. I thanks Amazon for providing 32 inch TV at such low price.,Very good TV. Buy it,B07MNF89L2
"The most costly world and better prices for the TV in eairtec, and best qwality",Thank you so much,B07MNF89L2
Nice. But some mp4 former (wedding video) not worked. Ok worthable product,Nice,B07MNF89L2
No good,Waiting money,B07MNF89L2
Good product but remote not work properly,Is good product,B07MNF89L2
"Very good packing, nice product, 2 usb drives, wall mount clamp and TV remote are attached, AAA battery 2 we have to buy separately. Sound quality is better. Worth buying product.",Super product and cheaper product,B07MNF89L2
The cost effective TV has volumnous advantages. Clarity Accessibility Suitability Most recommended,Pricing is of highest value,B07MNF89L2
